,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,6739,0.0,0.5946,"surgery, make, feel, good, baby, procedure, experience, time, team, meet","shalin supported my husband and i throughout the pregnancy and birth of our first child as our doula, evidence based birth childbirth educator, and lactation educator. 

hiring shalin was one of the best decisions we made in preparation for welcoming our baby. as our doula, her impartial and unwavering support guided us through decision making during our pregnancy and helped us to advocate for the prenatal care and birth preferences we desired. shalin's evidence based birth course equipped us with the knowledge and tools needed for a variety of birth experiences. this left my husband and i feeling more prepared in our roles both as the birthing person and support person leading up to the birth of our baby. lastly, shalin's one-on-one prenatal lactation course helped me to feel much more confident about breastfeeding for the first time knowing that i could trouble shoot common challenges and that i was equipped with the knowledge and resources needed for differing eventualities.

about a month before our estimated due date the covid 19 pandemic hit, causing our hospital to restrict visitors and not allow doulas in the birthing space. shalin calmly and proactively navigated this stressful situation, creating a library of online resource videos and offering virtual support for families in labor once they reached the hospital. she helped us to reformulate our plan for labor and birth to adapt to this less than ideal situation - helping us to regain a sense of control and support and reduce anxiety. 

on our baby's birthday shalin supported us in-person as we labored at home and then seamlessly transitioned to supporting us virtually via zoom and text once we moved to the hospital. her support throughout our pregnancy and birth played a huge role in helping us to achieve the positive and empowering birth experience we had envisioned."
1,631,1.0,0.4582,"nurse, hospital, doctor, day, give, symptom, home, virus, mom, hour","if i could give this hospital -10 i would had a very bad experience there with my son reluctantly had to go there with my husband even though i begged him to go to a different hospital. he had flu like symptoms oxygen level was in the 80s we had went to minute clinic in cvs and lincolnton. the nurse practitioner there was very nice but said because my husband's oxygen level was so low she had to call an ambulance for us we decline the ambulance but went straight to the er at atrium hospital.
  the people in the lobby of the er were very professional and kind got us in very quickly. and that's where the bad experience started. we were put in the room he was hooked up to machines to keep track of his vitals his oxygen kept dipping down into the 70s and 80s. the alarm for the o2 sensor kept going off because of the low oxygen we had to call the nurse several times to come in and she would just say it's a bad reading. they changed the monitor on his finger it was still reading low. they gave him a bag of fluids and blew out his vein in his arm then drew blood from his hand blew that vein also. when the doctor finally came in talk to him about the low o2 oxygen and he said it was probably faulty equipment to which i said is all your equipment here faulty because they had changed the sensor several times. at one point i put a timer on my phone to see how long it would take a nurse to come in with the alarms going off i stop my timer at five minutes and called the nurse and she said i know that is an annoying sound i'll shut it off i told them that i was more concerned about his oxygen being so low then the alarm is going off and asked if he could be put on an oxygen so they did his oxygen stats were  still low 90s even with being given oxygen. when the er doctor came in i asked him if he could be checked for the coronavirus because within the last week he had been to international airport. the doctor told me the coronavirus was not in north carolina to which i said well it wasn't in texas last week either but now it is. the doctor said he doesn't have the symptoms of the coronavirus to which i said he has all the symptoms of the coronavirus and they still would not test him they did not even test him for the flu. when they admitted him to observe him overnight the transport person almost ran him into several different objects for different times. we get to the room and the doctor that we had was very nice but still the test he ordered no one even did them he ordered a flu test they didn't do it he ordered a walking oxygen test they didn't do it. he had wanted him to be off oxygen for the night to see how he did he wanted it to be monitored they never took him off the oxygen and never monitored him with no oxygen. they said his oxygen was high enough to be able to go home and sent him home. he had only been off oxygen for one minute when they made that determination. very very very incompetent and very unprofessional"
2,9884,2.0,0.5094,"call, test, insurance, day, pay, result, receive, phone, send, charge","i preregistered online. because there was no transparency with prices and i thought it would be cheaper to pay cash pay as i only wanted a covid test. their website said rapid testing and although i knew the antibody test was less accurate it would give me peace of mind before being around family on the weekend. i called on my way to ensure cash pay would be cheaper and was told to call my insurance. i called my insurance that said i'd have a small copay plus the cost of the test if it was antibody and free if pcr. when i arrived early as directed on the website, i had to repeat all my information because they have ""2 systems"". i then had to wait for a nurse to call and get my symptoms. no one collected my insurance card info. i was told to drive around to the side and wait to be tested. i did and waited another 10 min where i was asked to repeat my symptoms yet again and then was swabbed for flu and covid. i was told i could wait 15 min for the flu results but explained i had a phone meeting and zoom meeting coming up and had to start heading home and could i please be called with the results. i was told yes. i explained the insurance scenario and instead of taking my card before i left, i was asked to call with the info. i called the clinic 3 times before getting a generic number who reluctantly took my info down. i still don't know if they charged my insurance or credit card. i called the next day for my flu results and was told it would take 4-5 days. i said ""not when she told me 15 min"". he said well i don't know what to tell you when that's what the computer says. he said i will have a provider call you. i said ""you all were already supposed to call me and that never happened, so can i speak to someone now?"" and he said no. i said ""so if someone doesn't call then what do i do, call again?"" he said, ""i guess so."" so sure enough no one called and i still don't know my results. whole process took an entire hour, which isn't horrible, but i expect price transparency, more efficiency, and above all honesty. these are my medical records!

update: no one called that next day so i called and they said someone would call. no one called the third day either. finally i found out my flu was negative but the covid test that was being quoted as 2-5 days has now been 8 and no results yet. i did find out that they did charge my insurance

update 2:

13 days later no results so so called. before going to urgent care on the 21st i called my insurance to to verify my benefits and i was told that the pcr test would be paid for but that the rapid screen would not. today, the fifth call to the urgent care, they told me that they needed me to go to labcorp and get retested and that they would do the rapid screen. i explained that i am not going to do the rapid screen because it is less reliable and i refuse to go back and i would like a refund as they charged me for the covid test and i never received any results. they refused to transfer me to their billing department and said i would need to call the lab. she stated ""i refuse to argue with you"" and she hung up on me.

what is my recourse?"
3,6543,3.0,0.4844,"people, review, place, bad, talk, give, rude, make, treat, leave","i am so disgusted by the way the owner dr. rhodes speaks to her clients that pay for the service. my experience her had been nothing but unpleasant. she is rude and screams at you. interrupts class sessions with disgusting verbal language and makes unprofessional passes at clients and when i brought it up she got upset and kicked me out of the class that i paid for. this place is absolutely ridiculous and hasn't done what it says and offers. dr. rhodes has given me nothing but stress and anxiety as well as her doing it to others. i am blown away that she has stayed in business so long and nothing has been done to stop her from mistreating people. people with addiction and mental health issues should never go to this place. it's just wrong to be treated this way and this has happened to me multiple times with her and people need to know just how awful she is. i've been in the program since january 2020 and was supposed to have 2 random drug screenings a month, just these past two weeks during a pandemic they now want to have me come into their office which is not clean even though they say it is and i have not used drugs and alcohol, i'm here because of a custody battle and am not about to risk getting sick from going to her establishments and especially not when i am being treated this way. no one deserves to have to spoken to the way she has chosen to speak to me and the way she speaks in a group that she is not even running. i am making sure to call my bank and stop payment on the class tonight because there was no reason for her to lash out yet again on me and kick me off of the virtual zoom class all because i spoke up and asked her to not make inappropriate and unprofessional passes at younger men in the class. i am so disappointed that someone who has the title of dr. would conduct herself in such a matter. i hope no one experiences what i had to and hope that anyone with a drug addiction or mental health problem never has to be treated the way i was and goes somewhere else for help. she is only in it for the money. not to help



i am absolutely blown away. i just received a phone call from dr. rhodes herself who once again was so rude and patronizing and condescending. she terminated me from the program for no real reason other than her saying i'm not progressing which is an absolute insults and a lie. mr. allan and ms. maggie can confirm that, and when she called me she mispronounced my name yet again and i politely corrected her and she stated that it is phonetically spelled a certain way so that is how she is going to pronounce it. she said i am not progressing in the program even though i have attended every single group counceling session and participate and contribute to what the topic is and just finished my last one on one counceling session with ms. maggie and paid dr. rhodes so much money and for what?!? what a scam! ms. maggie who is amazing. i only had a few more group counceling sessions to go. which proves my point how inappropriate and unprofessional she really is. she laughed at me as she proceeded to tell me that she is terminating me from the program and is going to tell my judge who she thinks is a male but my judge is a female all these awful things about me which are absolutely untrue. what a deplorable woman and how disgusting the way to speak to a client and how unprofessional of her to call me on a saturday to insult me and say what she has to say. i waisted so much money for nothing when i have done nothing to this woman ever. she had a personal vendetta out for me and now i have to go find a real counceling center for real help and to be able to get my custody battle resolved. it's sad that i have the intake letter from her that i will happily post to show how she talked so well and highly of me and now wants to switch up her story and belittle me and terminate me. thank you for stealing my money and i will post another yelp review letting everyone know what kind of person and dr. she really is. she doesn't care about anything but herself and money with no regard to people and their lives or helping them. shame on you. you should not be in this profession and i am so disappointed that i thought your program was legitimate and there to actually help people. i hope you get the help and counceling you need because it's becoming quite clear that being stuck in your house is affecting your mental health and affecting your work ethic. i will pray for you and hope you turn your life around because even though you deny it i have and am doing so well and wish you were too."
4,10794,4.0,0.4709,"store, order, prescription, pharmacy, employee, customer, time, line, location, manager","i have the cvs pharmacy extracare card so i am able to
receive discounts on some of their groceries that are on 
sale and other products also. most of the grocery items i 
bought was on sale except the alta dena low fat (1 percent milk) and the hostess wheat bread. 
the hostess wheat bread is really delicious when i make 
(peanut butter and jelly) or (luncheon meat) sandwiches.

there was a limit on the dairy products only one milk per
customer. cvs pharmacy groceries are fresh now as i showed on the (best if used by date). 

i purchased (8 items) and spent $20.24. i paid the cashier rosa in cash. rosa was wearing latex gloves, she
also had a mask on her face and plexiglass was between the cash register and me the customer. all of the cvs pharmacy employees were wearing masks and gloves including the store manager and two employees who were stocking the shelves. the pharmacy was empty.

there was (8 customers) that was shopping at cvs pharmacy that day. only (one senior citizen woman customer) was
wearing a mask to do her shopping. the other (7 customers) was not wearing masks. i didn't have a mask
but i made sure when i entered cvs pharmacy, i stayed 
a (6 feet distance) away from those other customers.
all the customers were polite and kept their distance away from each other. i asked an employee if they have
any masks? he said all the masks are sold out!
and so is the toilet paper. but this employee said 
the toilet paper will come in next tuesday on april  7, 2020 and i cannot order it. the toilet paper is an in-store
purchase only. the limit is (2 per customer).

the next time, i have to do my grocery shopping i will be
wearing a mask and gloves to protect myself from covid-19."
5,991,5.0,0.4819,"mask, room, wait, people, wear, walk, check, hand, place, sit","i accompanied a person who was having a surgical procedure done at this facility. the procedure went well and exemplary care happened beyond the waiting room. this rating is for the occurrence in the waiting room and how it was handled. the waiting area is very small chairs are together and persons across from you are about four feet. there is a drinking fountain in the area. when the 2 of us sat down, there was a women wearing a face mask, constantly coughing , pulling down her mask, and blowing into tissues which she held in her hand. as a nurse practitioner for more than 25 yrs, i was appalled that they allowed a person to sit right next to the drinking fountain ( maybe 6 inches) coughing and blowing her nose etc and even in the waiting room with persons awaiting surgery and their companions. i went up to the receptionist and told her we were uncomfortable with the situation. she told me that it was okay, the lady was waiting for someone in surgery and that she ""only had a sinus infection"". an infection! not only did the receptionist violate the hipa law protecting the women's privacy, but she was allowing a person with an infection to sit in the surgery waiting room with patients who were going into surgery , directly by the drinking fountain people where using. when she coughed and blew her nose without the mask on she was potentially driving germs onto the fountain! also whatever she touched like or chair arms and the fountain. in other words, she was a host for an infection that may of spread. 
i did not want to cause a ruckus while there were people waiting for their surgery. when i was alone with the coughing women i went over to her and asked if she would please wash her hands after she blew her nose, and dispose of the tissue in the trash 2 ft away, and to keep the mask over her nose. she just said no and closed her eyes. 
i went over to the receptionist and told her, she said she could not ask the lady to do that. so, i said , can you ask the lady to wait outside or in her car. she said no. i gave her my phone number and said i would be in my car to call me, which she did. 
this is the flu season, people who are coughing , sneezing , blowing nose, should  not be exposing their germs to anyone, especially those waiting to go into a surgical suite!  take care if going there. the  receptionists need some education about infection control at this facility."
6,1654,6.0,0.4282,"appointment, time, office, call, doctor, minute, wait, make, hour, schedule","the most unprofessional doctor's office i have had the misfortune to come across.

it took a long time to get a referral from my pcp and insurance to see an endocrinologist. they ultimately referred me to dr. jelen. after seeing the reviews here, i was worried, but made my appointment anyways, hoping for the best.

the doctor's office sent out multiple text messages and phone messages, all of which i answered in order to confirm my appointment. the morning of my appointment, i called to ask if the doctor was running on time (due to reviews here on yelp that reported her running two to three hours late). the receptionist said sorry, but my appointment had to be canceled because of ""covid19."" i asked why this wasn't the case the day before (when i confirmed my appointment), but she just reiterated that it was unforeseen until that very morning. that didn't make sense, but whatever.

she rescheduled me to a telemedicine appointment the following week, which i said was fine, even though i was already 9 month pregnant and the appointment was on my due date. a week later, i call thirty minutes before my appointment to make sure it was a telemedicine appointment, and not in the office, in order to make sure everyone was on the same page. she confirmed the telemedicine format to be the case, and confirmed the time of my appointment (11:45am). i wait. and wait. and wait ... i call again, to make sure they have my number right. yes, they have my number, but the doctor is running late. the receptionist said i was the first patient she would call when back in the office.

ok, so i wait longer, glued to my phone so i don't miss the call. after 2pm (2.5 hours after my appointment was supposed to start), i call again. they say they were canceling my appointment and i would have to reschedule, because of technical issues with telemedicine. i say i don't want to reschedule since my baby is due any day now, please can i talk to the doctor on the phone, like the receptionist and i were doing? she said no, and then seemed to perk up when i reminded her i was pregnant, and told me that the doctor doesn't see pregnant patients! dr. jelen's office and the referring office both knew i was pregnant, i mentioned it repeatedly. anyways, it barely matters because as i'm due any day now, i obviously won't be pregnant for long. i pleaded to speak with the doctor, or at least a manager. after a significant time on hold, i was transferred to ""james"" who refused to give me his last name and claimed to be the office manager. he talked over me, told me my opinion of their office didn't matter because i wasn't an ""established patient,"" said in an accusatory way that all the bad reviews online were from people ""like me"" (whatever that meant, i just want health care, which i pay for). i couldn't get a word in; i tried repeatedly to please speak with the doctor, but he told me to get a different doctor and hung up on me!

now i don't know what to do except to complain to my insurance. i have been hypothyroid over a year, and have been trying this whole time to be worked up, but still haven't been seen. even if i get referred to another doctor's office, i'll have to wait months again to get an appointment. i'm an md (not an endocrinologist) and can't imagine treating patients this way. as a patient, you're powerless to get seen by this doctor. unbelievably unprofessional.

tl; dr: at the time of this writing, over 88% of her yelp reviews are 1-star. there is a serious problem here. run!"
7,473,7.0,0.365,"care, patient, staff, covid, medical, visit, facility, health, concern, practice","unfortunately, this facility is one of the very few imaging centers that offer ""open"" mris for patients who are unable to undergo/tolerate traditional ""closed"" mri machines (which are readily available and typically preferred).  

my office recently encountered a somewhat absurd and infuriating response from the staff of elk grove open mri in regards to our attempts to schedule a patient for his mri without contrast a few months back.

the medical staff at this facility was not only unprofessional, but demanded that our patient go through both the mri with iv contrast as well as without, simply due to their facility having already received an authorization from the patient's insurance for both types of mris. 

even after ordering provider explained and explicitly requested for imaging facility to perform testing without contrast, as iv contrast mri was deemed unnecessary and inappropriate with patient not having surgical hardware present in spine. not to mention causing undue pain to the patient as the procedure of performing mri with iv contrast requires puncturing the skin/arm of the patient with a needle in order to access a vein for contrast administration)

it's very unfortunate that a medically licensed provider has to plead with an imaging facility to not perform medically unnecessary testing, nor put a patient through further invasive type medical procedures that are unwarranted. much less charge an insurance company for testing that is no longer appropriate.

i've actually added a extra star, only due to the fact that our office has had not further issues with this facility since this unfortunate encounter. however, we have since advised and referred our patient's to dri instead (who are exceptional by the way)

sincerely, 
a concerned medically licensed provider"
8,2873,8.0,0.4337,"year, pain, work, doctor, issue, back, week, month, find, medication","back in february i injured my knee during training. i powered through the pain and continued training for about a week. it was at the point where the swelling was so bad that walking was unbearable. i finally went to seek medical attention and was told that i need to ice, rest and elevate my knee. i was also prescribed ointment for the arthritis which managed the pain a bit but the swelling continued. i had a couple sports massages done but my knee would swell up again. some of my friends told me to try acupuncture. i contacted a few places and dr patel was the first one to respond. after two weeks of pain, i met with dr patel. i explained the circumstances to my injury and right off the bat she explained what the underlying issue is and off i went for my first acupuncture treatment. she also did the cupping treatment and wow, i felt the difference immediately. not only did the swelling decrease but i was able to put more weight on that leg and walk without limping. i went the following week for another treatment and dr patel said i have sciatica which may be the root of the swelling and pain down my leg. covid-19 came into play and my sessions were on hold for a few weeks. my sciatica was in full effect and getting a good nights sleep was challenging. when dr patel's office opened up again i began seeing her once a week and could feel a difference after each session. the sharp pain i was feeling on the inside of my knee had subsided significantly and only slight swelling would occur after long walks or workouts. i wish i had started acupuncture and cupping treatments sooner.  and  i can't say enough about the personal care and professionalism i received from dr patel each time i go in. she's always determined to make sure i'm pain free and i am certainly on my way. thank you dr patel for healing me and allowing me to continue my training when i was close to throwing in the towel."
9,291,9.0,0.4585,"feel, great, good, experience, make, friendly, place, time, nice, service","while sitting in the lovely relaxation room after my service, i texted a friend, declaring, ""ohhhh emmm geeee, i just had the most amazingly glorious massage experience of my life!""
 
my friend and i attended an event at pure last night, and i was impressed by the inviting and fresh décor and the welcoming and personable staff. we were pampered with paraffin hand treatments, chair massages, and facial treatments, and i enjoyed the experience so much, i booked a massage for the very next day... today.
 
in contrast to last night's festive atmosphere, i arrived at a very peaceful and quiet pure and was able to appreciate the beauty of the spa, bathed in natural light through picturesque floor-to-ceiling windows. the color palette throughout uses soft neutral hues to evoke a relaxing air in sparkling clean facilities.
 
but the highlight of the experience, of course, was a spectacularly orchestrated service called ""musclease."" my friends and i do regular spa trips, and i've enjoyed services in spas across the country, from new york to napa. i have never had a massage service like the musclease at pure. the meticulously planned steps were executed with precision to combine exfoliation, massage, and special products, including a mask, to loosen and relieve tension in such a deliciously relaxing way, achieving results that massage, alone, can't do. this is a gamechanger.
 
...and if you're going to splurge for this experience, be sure to request nina. her extensive experience is very evident in the expertise with which she performs the musclease.

you can thank me later when you, too, are sitting in the relaxation room, sipping champagne and wishing you'd known about the musclease massage sooner ;)"
