,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
50,D3MN24Ps5oI8wL8uM8AeaA,uKwIhrkUY-S7yehVQGgCJA,1,so to start off being an addict everyday spent doing drugs could be your last rehabs know this. this place didn't try to prevent it didn't try to take me in. on friday i was told that they could take me in saturday morning at 8:30 am when i called back they said no that's i'd have to wait until monday. no inpatient program should be telling you to wait 2 days to go in knowing you a heroine user. what has happened in my past experiences they have tried to get me in that day even if i didn't want to because of the possibilities of overdosing. also other program will put you in another program if no beds are available in the one that i acquired about. so monday i called early to let them know i was running late. said it wasn't a big say. got there at 8;40. fill out my paper work. and whatever. the two  woman in the front both had some attitudes. at a certain point it was a long time waiting so i inquired about it and they told me to keep waiting. i did for another 1 which that brought me 3 hour to accomplish nothing. the one woman said they didn't have an appointment for me. i lost it the went this long and i didn't have an appointment. so then she said someone would come out to see me. i asked how long again told me to have patients. i said after being here 3 hours and now telling me i didn't have an appointment. i was so frustrated i started to cry. that place is all about money they can care less about addiction and what it does to a person and their life. obviously they an appointment for they covering up something because i called early that morning saying was running late and gave them me name. then i call later on to tell someone that mattered the situation. i talked to a woman sabrina with a shitty attitude also i said i was very upset about the situation and she told me i did have an apt in reality she's the same one i'm sure of that took it on friday trying to cover her ass. this place has awful reviews shows how not compassionate they are. no regard working to help addict just care about the insurance money they collect. i would give no stars if that was an option,Lauren S.,2020-03-16,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&hrid=uKwIhrkUY-S7yehVQGgCJA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Summit Oaks Hospital,False,28,2.0,2020-03-16T13:39:59,19085227000.0,http://www.summitoakshospital.com/,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,19 Prospect St,Summit,NJ,US,7901.0,,,Hospitals,,,,,
74,My3F_fqhEPhnXgRQJikJaA,5-XkZPRBDasU8oldutrLSA,1,"i cannot even begin to state the negative outcomes from this institution. from the ground up, the staff and providers should be ashamed of their attitudes and healthcare. from being scolded immediately upon arrival to missed diagnoses to negative health outcomes to forgetting patients within a waiting room. the abhorrent medical care provided caused more medical conditions, twice now. coupled by unethical attitudes from the nurses, wvu medicine should re-analyze their affiliation with this institution. as a provider at one of the nations top hospitals, i understand the intricacies of medical institutions, but the addition of unethical and unprofessional staff and providers is the biggest issue with this place.",Zach M.,2020-05-11,https://www.yelp.com/biz/wvu-medicine-united-hospital-center-bridgeport?adjust_creative=upenn&hrid=5-XkZPRBDasU8oldutrLSA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Wvu Medicine United Hospital Center,False,4,2.0,2020-05-11T14:42:30,16813421000.0,http://www.uhcwv.org,https://www.yelp.com/biz/wvu-medicine-united-hospital-center-bridgeport?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,327 Medical Park Dr,Bridgeport,WV,US,26330.0,,,Hospitals,,,,,
79,9s4FPPLuvd1c9pKr5QXnGQ,8foU1sRhSQbCgVWWYR8yUQ,5,"we were in the hospital due to an unforeseen emergency and we cannot state how thankful we are for the doctors and nurses on call on 5/10 in the er and in the mbu. they were super attentive, informative and did everything they could to make us as comfortable as we could be in the circumstances. especially the mbu nurses, katie, if you're reading this we owe you so much. thank you so much for everything you did for us that day. we will always remember how well wewere taken care of here and hopefully we will be back under better circumstances.",Arvind N.,2020-05-16,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&hrid=8foU1sRhSQbCgVWWYR8yUQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Overlake Medical Center,False,202,3.0,2020-05-20T11:53:32,14256885000.0,http://www.overlakehospital.org,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1135 116th Ave NE,Bellevue,WA,US,98004.0,,,Medical Centers,,,,,
80,9s4FPPLuvd1c9pKr5QXnGQ,hhpO9R2lNjCwbSMyRWMrMg,1,"beware if you're getting a covid-19 nose swab test...linda, after she installed two new phones first, because that was obviously more important than attending to waiting patients, did a fine job of making my nose bleed profusely. and the head nurses who were called to have the damage done to me (so i assumed) checked out merely told me i could go to my primary care provider or they would escort me to the er...so i could wait and pay exorbitant fees? not impressed at all with the level of service or care (not) received today.",Laura V.,2020-05-20,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&hrid=hhpO9R2lNjCwbSMyRWMrMg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Overlake Medical Center,False,202,3.0,2020-05-20T11:53:32,14256885000.0,http://www.overlakehospital.org,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1135 116th Ave NE,Bellevue,WA,US,98004.0,,,Medical Centers,,,,,
81,9s4FPPLuvd1c9pKr5QXnGQ,Ce-7zSGjry357wXMUqordg,1,"horrible hospital!! bush league, amateur jv are words that come to mind. the care is so low, the staff basically idiots and doctors indifferent as hell. i have given this poor excuse for a hospital numerous chances and they keep getting worse. if you cherish your life, avoid overlake at all costs. if you are willing to take a risk, then this would be a good pace to go.",Stephie B.,2020-04-24,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&hrid=Ce-7zSGjry357wXMUqordg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Overlake Medical Center,False,202,3.0,2020-05-20T11:53:32,14256885000.0,http://www.overlakehospital.org,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1135 116th Ave NE,Bellevue,WA,US,98004.0,,,Medical Centers,,,,,
280,VbwfHsXXCnQ6oYYFgjJwkw,DQNWoftqZBl0RFN---4UPg,1,"no communication from nursing staff or case managers to our family. poor care given. south nassau used to be a place we highly regarded, now i would not suggest you go there for a paper cut. management has become dismal here, it's a shame.",Kaitlyn C.,2020-06-25,https://www.yelp.com/biz/mount-sinai-south-nassau-oceanside?adjust_creative=upenn&hrid=DQNWoftqZBl0RFN---4UPg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Mount Sinai South Nassau,False,82,2.5,2020-06-25T13:49:19,15166323000.0,http://www.mountsinai.org/southnassau,https://www.yelp.com/biz/mount-sinai-south-nassau-oceanside?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1 Healthy Way,Oceanside,NY,US,11572.0,,,Hospitals,,,,,
394,mUH7rzec-ztJj4ATp0GE4Q,eZDP6gv1Le2hifv9axEwNg,5,i came in the emergency and stayed on 9 west for a week prior to my back surgery.  i received amazing care and can't put in to words how much i appreciate the kindness of everyone who took care of me.,Christine M.,2020-06-23,https://www.yelp.com/biz/sparrow-hospital-lansing?adjust_creative=upenn&hrid=eZDP6gv1Le2hifv9axEwNg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Sparrow Hospital,False,49,2.5,2020-06-27T04:44:58,15173641000.0,http://www.sparrow.org,https://www.yelp.com/biz/sparrow-hospital-lansing?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1215 E Michigan Ave,Lansing,MI,US,48912.0,,,Hospitals,,,,,
446,6VwVZwOB6N-ZckrnbF1iDA,s57slBfgESkEqhMavAN6uA,5,"i have had excellent experiences during my multiple emergency visits and extended stays at middlesex hospital. the staff is caring, friendly and attentive. a much better experience than milford hospital and yale.",R S.,2020-06-23,https://www.yelp.com/biz/middlesex-hospital-middletown?adjust_creative=upenn&hrid=s57slBfgESkEqhMavAN6uA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Middlesex Hospital,False,36,3.5,2020-06-23T06:44:56,18603586000.0,http://middlesexhospital.org,https://www.yelp.com/biz/middlesex-hospital-middletown?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,28 Crescent St,Middletown,CT,US,6457.0,,,Hospitals,,,,,
513,WgDIlpACee-Mnb_9C-4yfQ,NfnwugXliniKZ3BLk8T9hQ,1,"what kind of ceo person runs kindred hospital brea calif ? let me tell you. the kind of person that doesn't give a damn about his clinical staff. he runs the place with little to zero amount of staffing to adequately

meet patient and family needs.now and also in this corona pandemic, allows families to freely roam the facility to possibly spread infection, get infections,and endanger patients who are already comprised.also, lets not forget and dismiss our front line personal who don't even have sufficient amounts of protective masks and no n95 masks! gee, what a disappointment... you don't even care about the company you run.",Kim G.,2020-03-16,https://www.yelp.com/biz/kindred-hospital-brea-brea-4?adjust_creative=upenn&hrid=NfnwugXliniKZ3BLk8T9hQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kindred Hospital Brea,False,40,2.5,2020-03-16T12:32:44,17145296842.0,http://www.kindredhospitalbrea.com,https://www.yelp.com/biz/kindred-hospital-brea-brea-4?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,875 North Brea Blvd,Brea,CA,US,92821.0,,,Hospitals,Occupational Therapy,Physical Therapy,,,
562,D0B_nKFc6ClJ0OTPj1zFbA,FnY0DwFQyzpKchV2_fehZA,1,"this starts on february 15 presidents' day 2020. got a piece of metal in my eye. called the va but the va was closed on presidents' day va aftercare told me to call the nearest hospital for me unfortunately is wayne county community hospital in newark. it was about 4:30 in the afternoon when i got there. took only about 3040 minutes before they called me took me back to one of the rooms sat there for another 1015 minutes before dr. kman i knew i was in trouble when she pulled out her phone and use the flashlight on her phone to look at my eye. she told me yes i can see the piece of metal lodged in your eye let me see what i can do. so she went and got help and another nurse came in pulled out her phone turned on the flashlight shined it in my eye and the other which was a doctor proceeded to rub a q-tip across my eye two maybe three times. then she said i can't get it it's lodged to deep in your eye. so i'm gonna send you home call va first thing tomorrow morning and see how they wanna handle it. call va the next morning they don't have the equipment there so they sent me to an outside ophthalmologist took her about two minutes to get the piece of metal out of my eye thank god. needless to say two weeks later i receive a bill from the emergency room at newark wayne community hospital for the sum of $1146.32. they accomplished nothing and sent me home to the tune of $1146.32 that's right for doing nothing shining their phones in my eye was the best they could do. do not go there if you value your life or the life of a loved on. 

update.........well here we are april 6th and guess what. someone from the hospital must have seen my review on here. because a couple of days ago i got a revised bill they added $100.00 and labeled it doctor's care. that must have been when with one hand she held her phone flashlight up to my eye and with the other hand drug a cotton ball across my eye ball said i can't get it you'll have to call the va tomorrow when they open. so you're telling me that the hospital has no optometrist on call or at the hospital it was only like 4 o'clock in the afternoon but instead of bothering one of their overpaid personnel they would rather send me home in pain with a piece of metal stuck in my eye i could've gone blind overnight. i'm sure you all know what it feels like to have something stuck in your eyeball and every time you blink it's extremely painful. no they did not give me anything for the pain. not a fun night! all this professional care lol cost me $1246.32 wow what a deal. not!!!!!!!!!",Bill P.,2020-04-06,https://www.yelp.com/biz/newark-wayne-community-hospital-newark?adjust_creative=upenn&hrid=FnY0DwFQyzpKchV2_fehZA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,NEWARK-WAYNE COMMUNITY HOSPITAL,False,5,2.0,2020-04-06T03:37:13,13153322022.0,http://www.newarkwaynecommunityhospital.org,https://www.yelp.com/biz/newark-wayne-community-hospital-newark?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1200 Driving Park Ave,Newark,NY,US,14513.0,,,Hospitals,,,,,
